Day,entity_id,Name,observed_primary_sales,observed_intermediary_sales,Observed Transactions,Observed Customers,,,,,,,,,,,,,,,,,,,
11/19/22,SQSP,Squarespace Inc,3996,64743,1450,1406,,,,,,,,,,,,,,,,,,,
11/20/22,SQSP,Squarespace Inc,1969,59967,1159,1122,,,,,,,,,,,,,,,,,,,
11/21/22,SQSP,Squarespace Inc,1211,58993,1428,1334,,,,,,,,,,,,,,,,,,,
11/22/22,SQSP,Squarespace Inc,1610,59961,1344,1239,,,,,,,,,,,,,,,,,,,
11/23/22,SQSP,Squarespace Inc,808,62296,1355,1275,,,,,,,,,,,,,,,,,,,
11/24/22,SQSP,Squarespace Inc,1789,42639,1147,1132,,,,,,,,,,,,,,,,,,,
11/25/22,SQSP,Squarespace Inc,1958,62688,1341,1208,,,,,,,,,,,,,,,,,,,
11/26/22,SQSP,Squarespace Inc,1713,64507,1280,1166,,,,,,,,,,,,,,,,,,,
11/27/22,SQSP,Squarespace Inc,1022,72048,1706,1557,,,,,,,,,,,,,,,,,,,
11/28/22,SQSP,Squarespace Inc,1519,102341,2286,2122,,,,,,,,,,,,,,,,,,,
11/29/22,SQSP,Squarespace Inc,3993,56231,970,863,,,,,,,,,,,,,,,,,,,
11/30/22,SQSP,Squarespace Inc,2797,56851,1232,1057,,,,,,,,,,,,,,,,,,,
12/1/22,SQSP,Squarespace Inc,1674,139516,2482,2271,,,,,,,,,,,,,,,,,,,
12/2/22,SQSP,Squarespace Inc,1527,89878,1472,1396,,,,,,,,,,,,,,,,,,,
12/3/22,SQSP,Squarespace Inc,1820,71240,1429,1322,,,,,,,,,,,,,,,,,,,
12/4/22,SQSP,Squarespace Inc,1441,87338,1554,1457,,,,,,,,,,,,,,,,,,,
12/5/22,SQSP,Squarespace Inc,756,52683,1276,1236,,,,,,,,,,,,,,,,,,,
12/6/22,SQSP,Squarespace Inc,1252,103123,1674,1405,,,,,,,,,,,,,,,,,,,
12/7/22,SQSP,Squarespace Inc,1112,99841,1825,1703,,,,,,,,,,,,,,,,,,,
12/8/22,SQSP,Squarespace Inc,4120,70005,1501,1455,,,,,,,,,,,,,,,,,,,
12/9/22,SQSP,Squarespace Inc,1653,82075,1595,1478,,,,,,,,,,,,,,,,,,,
12/10/22,SQSP,Squarespace Inc,1989,71993,1450,1398,,,,,,,,,,,,,,,,,,,
12/11/22,SQSP,Squarespace Inc,1749,55728,1269,1137,,,,,,,,,,,,,,,,,,,
12/12/22,SQSP,Squarespace Inc,1506,101355,1821,1597,,,,,,,,,,,,,,,,,,,
12/13/22,SQSP,Squarespace Inc,1335,78929,1560,1445,,,,,,,,,,,,,,,,,,,
12/14/22,SQSP,Squarespace Inc,2926,67002,1313,1203,,,,,,,,,,,,,,,,,,,
12/15/22,SQSP,Squarespace Inc,1757,91108,1824,1531,,,,,,,,,,,,,,,,,,,
12/16/22,SQSP,Squarespace Inc,834,73582,1460,1356,,,,,,,,,,,,,,,,,,,
12/17/22,SQSP,Squarespace Inc,1644,74529,1437,1364,,,,,,,,,,,,,,,,,,,
12/18/22,SQSP,Squarespace Inc,4530,77968,1482,1376,,,,,,,,,,,,,,,,,,,
12/19/22,SQSP,Squarespace Inc,1928,84427,1550,1430,,,,,,,,,,,,,,,,,,,
12/20/22,SQSP,Squarespace Inc,2623,69830,1361,1238,,,,,,,,,,,,,,,,,,,
12/21/22,SQSP,Squarespace Inc,1595,112918,1610,1481,,,,,,,,,,,,,,,,,,,
12/22/22,SQSP,Squarespace Inc,1794,85490,1600,1492,,,,,,,,,,,,,,,,,,,
12/23/22,SQSP,Squarespace Inc,903,80485,1358,1283,,,,,,,,,,,,,,,,,,,
12/24/22,SQSP,Squarespace Inc,1812,70246,1222,1182,,,,,,,,,,,,,,,,,,,
12/25/22,SQSP,Squarespace Inc,1981,40136,940,900,,,,,,,,,,,,,,,,,,,
12/26/22,SQSP,Squarespace Inc,2049,74194,1435,1303,,,,,,,,,,,,,,,,,,,
12/27/22,SQSP,Squarespace Inc,1968,95512,1787,1693,,,,,,,,,,,,,,,,,,,
12/28/22,SQSP,Squarespace Inc,1742,84034,2076,1897,,,,,,,,,,,,,,,,,,,
12/29/22,SQSP,Squarespace Inc,1134,67540,1065,1023,,,,,,,,,,,,,,,,,,,
12/30/22,SQSP,Squarespace Inc,2078,74334,1002,879,,,,,,,,,,,,,,,,,,,
12/31/22,SQSP,Squarespace Inc,858,77985,950,827,,,,,,,,,,,,,,,,,,,
1/1/23,SQSP,Squarespace Inc,1772,91896,2084,1993,,,,,,,,,,,,,,,,,,,
1/2/23,SQSP,Squarespace Inc,2887,79415,1534,1410,,,,,,,,,,,,,,,,,,,
1/3/23,SQSP,Squarespace Inc,1898,89739,1392,1341,,,,,,,,,,,,,,,,,,,
1/4/23,SQSP,Squarespace Inc,1641,98061,1743,1612,,,,,,,,,,,,,,,,,,,
1/5/23,SQSP,Squarespace Inc,2420,101926,1603,1428,,,,,,,,,,,,,,,,,,,
1/6/23,SQSP,Squarespace Inc,1675,98743,1628,1541,,,,,,,,,,,,,,,,,,,
1/7/23,SQSP,Squarespace Inc,1074,83692,1656,1565,,,,,,,,,,,,,,,,,,,
1/8/23,SQSP,Squarespace Inc,1595,78795,1462,1415,,,,,,,,,,,,,,,,,,,
1/9/23,SQSP,Squarespace Inc,1143,80501,1674,1463,,,,,,,,,,,,,,,,,,,
1/10/23,SQSP,Squarespace Inc,1927,70332,1582,1476,,,,,,,,,,,,,,,,,,,
1/11/23,SQSP,Squarespace Inc,1449,85900,1565,1465,,,,,,,,,,,,,,,,,,,
1/12/23,SQSP,Squarespace Inc,1656,87548,1641,1568,,,,,,,,,,,,,,,,,,,
1/13/23,SQSP,Squarespace Inc,1432,76130,1512,1387,,,,,,,,,,,,,,,,,,,
1/14/23,SQSP,Squarespace Inc,975,66824,1326,1279,,,,,,,,,,,,,,,,,,,
1/15/23,SQSP,Squarespace Inc,980,123845,1741,1623,,,,,,,,,,,,,,,,,,,
1/16/23,SQSP,Squarespace Inc,1437,64106,1440,1363,,,,,,,,,,,,,,,,,,,
1/17/23,SQSP,Squarespace Inc,1928,95407,1755,1602,,,,,,,,,,,,,,,,,,,
1/18/23,SQSP,Squarespace Inc,1593,90448,1704,1524,,,,,,,,,,,,,,,,,,,
1/19/23,SQSP,Squarespace Inc,2415,118994,1944,1769,,,,,,,,,,,,,,,,,,,
1/20/23,SQSP,Squarespace Inc,2788,113385,1862,1464,,,,,,,,,,,,,,,,,,,
1/21/23,SQSP,Squarespace Inc,834,70446,1283,1247,,,,,,,,,,,,,,,,,,,
1/22/23,SQSP,Squarespace Inc,1523,70232,1373,1300,,,,,,,,,,,,,,,,,,,
1/23/23,SQSP,Squarespace Inc,755,85761,1585,1387,,,,,,,,,,,,,,,,,,,
1/24/23,SQSP,Squarespace Inc,1967,81918,1611,1471,,,,,,,,,,,,,,,,,,,
1/25/23,SQSP,Squarespace Inc,2399,89981,1535,1405,,,,,,,,,,,,,,,,,,,
1/26/23,SQSP,Squarespace Inc,2020,85026,1533,1377,,,,,,,,,,,,,,,,,,,
1/27/23,SQSP,Squarespace Inc,1394,82981,1734,1644,,,,,,,,,,,,,,,,,,,
1/28/23,SQSP,Squarespace Inc,1445,97561,1953,1890,,,,,,,,,,,,,,,,,,,
1/29/23,SQSP,Squarespace Inc,1754,83417,989,957,,,,,,,,,,,,,,,,,,,
1/30/23,SQSP,Squarespace Inc,2497,69697,980,907,,,,,,,,,,,,,,,,,,,
1/31/23,SQSP,Squarespace Inc,683,86192,1230,987,,,,,,,,,,,,,,,,,,,
2/1/23,SQSP,Squarespace Inc,2384,131342,2478,2305,,,,,,,,,,,,,,,,,,,
2/2/23,SQSP,Squarespace Inc,1813,85112,1759,1585,,,,,,,,,,,,,,,,,,,
2/3/23,SQSP,Squarespace Inc,1705,124461,1629,1535,,,,,,,,,,,,,,,,,,,
2/4/23,SQSP,Squarespace Inc,1358,100440,1758,1696,,,,,,,,,,,,,,,,,,,
2/5/23,SQSP,Squarespace Inc,720,76026,1402,1356,,,,,,,,,,,,,,,,,,,
2/6/23,SQSP,Squarespace Inc,1163,87214,1762,1416,,,,,,,,,,,,,,,,,,,
2/7/23,SQSP,Squarespace Inc,1080,74714,1746,1600,,,,,,,,,,,,,,,,,,,
2/8/23,SQSP,Squarespace Inc,6569,122039,1689,1656,,,,,,,,,,,,,,,,,,,
2/9/23,SQSP,Squarespace Inc,1470,70012,1725,1588,,,,,,,,,,,,,,,,,,,
2/10/23,SQSP,Squarespace Inc,2259,87818,1663,1514,,,,,,,,,,,,,,,,,,,
2/11/23,SQSP,Squarespace Inc,1721,72597,1363,1321,,,,,,,,,,,,,,,,,,,
2/12/23,SQSP,Squarespace Inc,1439,73109,1592,1505,,,,,,,,,,,,,,,,,,,
2/13/23,SQSP,Squarespace Inc,1576,88901,1675,1424,,,,,,,,,,,,,,,,,,,
2/14/23,SQSP,Squarespace Inc,928,76147,1337,1259,,,,,,,,,,,,,,,,,,,
2/15/23,SQSP,Squarespace Inc,1163,88090,1774,1672,,,,,,,,,,,,,,,,,,,
2/16/23,SQSP,Squarespace Inc,1435,107075,1537,1473,,,,,,,,,,,,,,,,,,,
2/17/23,SQSP,Squarespace Inc,1879,118774,1762,1610,,,,,,,,,,,,,,,,,,,
2/18/23,SQSP,Squarespace Inc,1829,76736,1366,1303,,,,,,,,,,,,,,,,,,,
2/19/23,SQSP,Squarespace Inc,4101,71644,1518,1453,,,,,,,,,,,,,,,,,,,
2/20/23,SQSP,Squarespace Inc,1147,64429,1383,1156,,,,,,,,,,,,,,,,,,,
2/21/23,SQSP,Squarespace Inc,1022,65472,1390,1238,,,,,,,,,,,,,,,,,,,
2/22/23,SQSP,Squarespace Inc,1563,78088,1518,1398,,,,,,,,,,,,,,,,,,,
2/23/23,SQSP,Squarespace Inc,1439,79968,1607,1501,,,,,,,,,,,,,,,,,,,
2/24/23,SQSP,Squarespace Inc,2421,78890,1539,1421,,,,,,,,,,,,,,,,,,,
2/25/23,SQSP,Squarespace Inc,2434,77946,1553,1383,,,,,,,,,,,,,,,,,,,
2/26/23,SQSP,Squarespace Inc,4203,85029,1508,1431,,,,,,,,,,,,,,,,,,,
2/27/23,SQSP,Squarespace Inc,1750,67495,1667,1481,,,,,,,,,,,,,,,,,,,
2/28/23,SQSP,Squarespace Inc,4779,115068,3083,2748,,,,,,,,,,,,,,,,,,,
3/1/23,SQSP,Squarespace Inc,1690,112705,2712,2496,,,,,,,,,,,,,,,,,,,
3/2/23,SQSP,Squarespace Inc,2204,94518,1557,1488,,,,,,,,,,,,,,,,,,,
3/3/23,SQSP,Squarespace Inc,1886,88587,1445,1354,,,,,,,,,,,,,,,,,,,
3/4/23,SQSP,Squarespace Inc,1162,88079,1563,1508,,,,,,,,,,,,,,,,,,,
3/5/23,SQSP,Squarespace Inc,1079,78780,1510,1430,,,,,,,,,,,,,,,,,,,
3/6/23,SQSP,Squarespace Inc,1555,84629,1621,1418,,,,,,,,,,,,,,,,,,,
3/7/23,SQSP,Squarespace Inc,1469,92059,1723,1629,,,,,,,,,,,,,,,,,,,
3/8/23,SQSP,Squarespace Inc,1527,87458,1628,1497,,,,,,,,,,,,,,,,,,,
3/9/23,SQSP,Squarespace Inc,1311,91637,1551,1449,,,,,,,,,,,,,,,,,,,
3/10/23,SQSP,Squarespace Inc,2006,94453,1647,1581,,,,,,,,,,,,,,,,,,,
3/11/23,SQSP,Squarespace Inc,1601,87680,1448,1326,,,,,,,,,,,,,,,,,,,
3/12/23,SQSP,Squarespace Inc,1722,74485,1513,1442,,,,,,,,,,,,,,,,,,,
3/13/23,SQSP,Squarespace Inc,4565,78183,1647,1447,,,,,,,,,,,,,,,,,,,
3/14/23,SQSP,Squarespace Inc,1402,94078,1469,1341,,,,,,,,,,,,,,,,,,,
3/15/23,SQSP,Squarespace Inc,1537,101754,1655,1551,,,,,,,,,,,,,,,,,,,
3/16/23,SQSP,Squarespace Inc,1533,79754,1461,1398,,,,,,,,,,,,,,,,,,,
3/17/23,SQSP,Squarespace Inc,2379,77224,1558,1484,,,,,,,,,,,,,,,,,,,
3/18/23,SQSP,Squarespace Inc,1829,63563,1260,1224,,,,,,,,,,,,,,,,,,,
3/19/23,SQSP,Squarespace Inc,1875,79471,1563,1466,,,,,,,,,,,,,,,,,,,
3/20/23,SQSP,Squarespace Inc,2422,91086,1586,1394,,,,,,,,,,,,,,,,,,,
3/21/23,SQSP,Squarespace Inc,1176,86740,1547,1445,,,,,,,,,,,,,,,,,,,
3/22/23,SQSP,Squarespace Inc,1554,102027,1690,1532,,,,,,,,,,,,,,,,,,,
3/23/23,SQSP,Squarespace Inc,3073,68003,1334,1286,,,,,,,,,,,,,,,,,,,
3/24/23,SQSP,Squarespace Inc,2095,89241,1514,1392,,,,,,,,,,,,,,,,,,,
3/25/23,SQSP,Squarespace Inc,3040,86098,1589,1450,,,,,,,,,,,,,,,,,,,
3/26/23,SQSP,Squarespace Inc,2940,70961,1450,1345,,,,,,,,,,,,,,,,,,,
3/27/23,SQSP,Squarespace Inc,2479,80986,1729,1531,,,,,,,,,,,,,,,,,,,
3/28/23,SQSP,Squarespace Inc,1494,117237,2371,2236,,,,,,,,,,,,,,,,,,,
3/29/23,SQSP,Squarespace Inc,1719,61041,758,661,,,,,,,,,,,,,,,,,,,
3/30/23,SQSP,Squarespace Inc,2600,53628,738,657,,,,,,,,,,,,,,,,,,,
3/31/23,SQSP,Squarespace Inc,655,87318,1318,1146,,,,,,,,,,,,,,,,,,,
4/1/23,SQSP,Squarespace Inc,1935,115885,2655,2535,,,,,,,,,,,,,,,,,,,
4/2/23,SQSP,Squarespace Inc,1850,70652,1536,1445,,,,,,,,,,,,,,,,,,,
4/3/23,SQSP,Squarespace Inc,1539,98454,1500,1431,,,,,,,,,,,,,,,,,,,
4/4/23,SQSP,Squarespace Inc,2676,112032,1729,1606,,,,,,,,,,,,,,,,,,,
4/5/23,SQSP,Squarespace Inc,1507,134596,1664,1570,,,,,,,,,,,,,,,,,,,
4/6/23,SQSP,Squarespace Inc,2185,100305,1887,1593,,,,,,,,,,,,,,,,,,,
4/7/23,SQSP,Squarespace Inc,1582,118029,2053,1821,,,,,,,,,,,,,,,,,,,
4/8/23,SQSP,Squarespace Inc,1752,87851,1568,1486,,,,,,,,,,,,,,,,,,,
